iter	Passed	Remaining
0	152	152218
1	154	76964
2	156	52062
3	159	39653
4	161	32099
5	163	27080
6	166	23599
7	168	20917
8	170	18807
9	172	17091
10	173	15623
11	174	14384
12	176	13398
13	177	12482
14	178	11696
15	178	10991
16	179	10404
17	181	9916
18	182	9433
19	184	9029
20	185	8639
21	186	8283
22	187	7971
23	188	7674
24	189	7405
25	190	7142
26	191	6900
27	192	6674
28	192	6461
29	193	6262
30	194	6071
31	195	5902
32	196	5750
33	197	5602
34	198	5462
35	198	5322
36	199	5194
37	200	5073
38	201	4955
39	201	4842
40	202	4736
41	203	4631
42	203	4532
43	204	4436
44	204	4344
45	205	4256
46	205	4171
47	206	4089
48	206	4012
49	207	3939
50	207	3870
51	208	3803
52	209	3744
53	210	3685
54	211	3626
55	211	3570
56	212	3514
57	213	3461
58	214	3415
59	215	3368
60	215	3320
61	216	3271
62	216	3223
63	217	3178
64	217	3132
65	218	3089
66	218	3047
67	219	3006
68	220	2969
69	220	2931
70	221	2895
71	221	2859
72	222	2823
73	222	2788
74	223	2756
75	224	2725
76	225	2697
77	225	2666
78	226	2637
79	227	2611
80	227	2583
81	228	2556
82	228	2526
83	229	2501
84	229	2475
85	230	2452
86	231	2433
87	233	2414
88	233	2393
89	234	2370
90	235	2348
91	235	2327
92	236	2305
93	237	2284
94	237	2264
95	238	2247
96	239	2229
97	240	2212
98	241	2194
99	241	2175
100	242	2157
101	243	2139
102	243	2122
103	244	2106
104	245	2090
105	246	2075
106	246	2059
107	247	2043
108	248	2028
109	248	2014
110	249	2000
111	250	1986
112	251	1973
113	252	1960
114	252	1946
115	253	1934
116	254	1920
117	255	1908
118	255	1894
119	256	1882
120	257	1868
121	257	1855
122	258	1843
123	259	1831
124	259	1819
125	260	1809
126	261	1796
127	262	1785
128	262	1775
129	264	1768
130	265	1759
131	265	1748
132	266	1737
133	266	1725
134	268	1718
135	269	1710
136	269	1700
137	270	1691
138	271	1681
139	272	1671
140	272	1661
141	273	1650
142	273	1641
143	274	1634
144	275	1626
145	276	1618
146	277	1609
147	277	1599
148	281	1610
149	283	1604
150	284	1599
151	285	1592
152	286	1584
153	286	1576
154	287	1568
155	288	1560
156	289	1552
157	289	1544
158	290	1536
159	291	1528
160	291	1519
161	292	1512
162	293	1506
163	295	1504
164	295	1497
165	296	1490
166	297	1483
167	298	1476
168	299	1472
169	300	1465
170	301	1462
171	302	1456
172	303	1449
173	303	1442
174	304	1436
175	305	1429
176	306	1423
177	306	1417
178	307	1411
179	308	1405
180	309	1398
181	309	1392
182	310	1386
183	311	1380
184	312	1377
185	313	1373
186	314	1367
187	315	1361
188	315	1355
189	316	1350
190	317	1344
191	318	1338
192	318	1332
193	319	1327
194	320	1323
195	321	1318
196	321	1312
197	322	1306
198	323	1300
199	323	1294
200	324	1288
201	324	1282
202	325	1277
203	326	1272
204	326	1267
205	327	1263
206	328	1259
207	329	1255
208	330	1250
209	331	1245
210	331	1240
211	332	1236
212	333	1231
213	333	1226
214	334	1221
215	335	1216
216	335	1211
